query_id	tema	tipo_query	query_text	criterio_relevancia_alta	observacoes_negativos_dificeis	num_pedido_normalizado	numero_inpi	titulo	resumo	origem	sistemas	n_sistemas	melhor_posicao	relevancia_llm	justificativa_llm	relevancia_final	revisor
QA006	purificacao_agua	natural	encontrar tecnologias que limpam água contaminada com metais tóxicos	Patentes focadas em descontaminação de água contendo metais pesados ou íons tóxicos	Tratamento biológico sem metais; mineração sem purificação de água	BR112017010297	112017010297	SISTEMA DE PURIFICAÇÃO DE ÁGUA E VASO CILÍNDRICO	A presente invenção refere-se a um sistema de purificação da água que inclui um tanque de água a alta temperatura, uma fonte de calor sem chama, um vaso cilíndrico (ninho de hidrociclones), uma primeira bomba, um medidor da produção de vapor d'água, e um condensador de vapor d'água e um trocador de calor. A água contaminada é aquecida dentro do tanque de água a alta temperatura ao usar a fonte de calor sem chama. A água contaminada aquecida aquece o vaso cilíndrico e uma ou mais conjuntos de hidrociclones. A água contaminada aquecida é bombeada ao vaso cilíndrico de maneira tal que a água contaminada aquecida entra em uma entrada tangencial dos hi-drociclones, os hidrociclones separam a água contaminada aquecida em vapor d'água e sólidos/concentrado, o vapor d'água sai através de um fluxo superior dos hidrociclones e de uma primeira saída do vaso cilíndrico, da saída de sólidos/concentrado com um fluxo inferior dos hidrociclones e de uma segunda saída do vaso cilíndrico. O vapor d'água é condensado em água purificada ao usar o condensador de vapor d'água e o trocador de calor.	pooling	bm25_hier|bm25_ipc|bm25_tr	3	1	2	Sistema de purificacao de agua contaminada; metais toxicos nao explicitados		
QA006	purificacao_agua	natural	encontrar tecnologias que limpam água contaminada com metais tóxicos	Patentes focadas em descontaminação de água contendo metais pesados ou íons tóxicos	Tratamento biológico sem metais; mineração sem purificação de água	BR102017006907	102017006907	Processo de tratamento de lixiviado de aterro sanitário por oxiamonólise	processo de tratamento de lixiviado de aterro sanitário por oxiamonólise. patente de invenção de processo de tratamento de lixiviado de aterro sanitário que compreende três etapas, 1ª etapa físico-química com retirada de sólido inerte classe ii-b, 2ª etapa de filtração e 3ª etapa oxidação catalítica e amonólise por redução catódica, obtendo um efluente tratados que satisfaz a legislação ambiental quanto ao descarte ou reutilização da água.	pooling	bm25_hier|bm25_ipc	2	2	2	Tratamento de lixiviado de aterro com IPC de metais pesados e ions		
QA006	purificacao_agua	natural	encontrar tecnologias que limpam água contaminada com metais tóxicos	Patentes focadas em descontaminação de água contendo metais pesados ou íons tóxicos	Tratamento biológico sem metais; mineração sem purificação de água	BR102017006908	102017006908	Processo de extração e purificação de substâncias húmicas de lixiviado de aterro sanitário	processo de extração e purificação de substâncias húmicas de lixiviado de aterro sanitário. patente de invenção de processo de extração e purificação de substâncias húmicas de lixiviado de aterro sanitário que compreende quatro etapas, 1ª etapa físico-química com retirada de sólido inerte classe ii-b, 22 etapa de filtração, 3ª etapa de purificação das substâncias húmicas com coluna de troca fônica seguida de osmose reversa e 4á etapa oxidação catalítica e amonólise por redução catódica, obtendo um efluente tratados que satisfaz a legislação ambiental quanto ao descarte ou reutilização da água.	pooling	bm25_hier|bm25_ipc	2	3	2	Purificacao de lixiviado por troca ionica e osmose reversa, remocao de ions		
QA006	purificacao_agua	natural	encontrar tecnologias que limpam água contaminada com metais tóxicos	Patentes focadas em descontaminação de água contendo metais pesados ou íons tóxicos	Tratamento biológico sem metais; mineração sem purificação de água	BR102018013293	102018013293	SISTEMA DE PURIFICAÇÃO E AJUSTE FÍSICO-QUÍMICO DE ÁGUA	SISTEMA DE PURIFICAÇÃO E AJUSTE FÍSICO-QUÍMICO DE ÁGUA Os princípios construtivos e funcionalidades encontradas na presente invenção são aplicáveis ao setor de purificação, ajustes físico-químicos e envase de água para consumo humano. É objeto do presente invento um sistema de purificação, ajuste físico-químico e envase de água para consumo humano, compreendendo os seguintes elementos: Um primeiro trocador de calor de placas intercambiáveis; um filtro de sílica de alta pressão; um filtro de carvão ativado de alta pressão; um trocador de íons; um sistema duplo de osmose reversa; um sistema ozonizador; meios de adição de sais minerais; e meios para ajuste da concentração de hidrogênio. Alternativamente, o sistema poderá incluir uma máquina de envase.	pooling	bm25_hier|bm25_ipc	2	5	2	Purificacao de agua com trocador de ions e osmose reversa		
QA006	purificacao_agua	natural	encontrar tecnologias que limpam água contaminada com metais tóxicos	Patentes focadas em descontaminação de água contendo metais pesados ou íons tóxicos	Tratamento biológico sem metais; mineração sem purificação de água	BR102021004721	102021004721	PROCESSO DE TRATAMENTO DE CHORUME POR PRECIPITAÇÃO E CARBONATAÇÃO E PRODUTO OBTIDO ATRAVÉS DO MESMO	PROCESSO DE TRATAMENTO DE CHORUME POR PRECIPITAÇÃO E CARBONATAÇÃO E PRODUTO OBTIDO ATRAVÉS DO MESMO. Trata-se a presente patente de invenção de um processo de tratamento de Chorume gerado nos aterros industriais e municipais, assim como os produtos obtidos através do mesmos como composto agrícola, pertencente ao setor químico, particularmente trata-se de um processo para precipitar, carbonatar, sedimentar ,oxidar, filtrar e centrifugar o resíduo do lodo gerado nos aterros, sem uso de polímeros. O processo de tratamento de chorume por precipitação e carbonatação, resume-se nas seguintes etapas: 1.1.- proporcionalidade de alimentação do líquido em sistema semi-contínuo; 1.2.- adição do coagulante policloreto de alumínio; 1.3.- adição do hidróxido de cálcio para ajuste do ph alcalino; 1.4 _x0096_ carbonatação; 1.5.- sedimentação; 1.6.- centrifugação; 1.7.- separação do produto centrifugado; 1.8- filtração dá agua em filtro mineral; e 1.9- descarte da água em meio hídrico. O material sólido obtido é um lodo com alta concentração de sólidos que será usado para a fabricação de pavers de concreto e cerâmica vermelha como fonte de carga e liga de resistência mecânica.	pooling	bm25_hier|bm25_ipc	2	8	2	Tratamento de chorume por precipitacao, remove carga inorganica		
QA006	purificacao_agua	natural	encontrar tecnologias que limpam água contaminada com metais tóxicos	Patentes focadas em descontaminação de água contendo metais pesados ou íons tóxicos	Tratamento biológico sem metais; mineração sem purificação de água	BR102018009266	102018009266	PROCESSO PARA SÍNTESE DE NANOTUBOS DE HIDRÓXIDOS DUPLOS LAMELARES, NANOTUBOS DE HIDRÓXIDOS DUPLOS LAMELARES E SEUS USOS	A presente invenção refere-se a um processo para síntese de nanotubos de hidróxidos duplos lamelares a partir da decoração de micelas surfactantes. Os materiais resultantes são nanotubos porosos autosuportados de HDLs hierárquicos que apresentam elevada área superficial e mesoporos cilíndricos acessíveis. Tais nanotubos são aplicados como catalisadores, suportes catalíticos, retardadores de chama, filtros de purificação de água e resíduos industriais e veículos para administração de substâncias farmacêuticas.	pooling	bm25_hier	1	8	2	Nanotubos de HDL aplicados como filtros de purificacao de agua e residuos		
QA006	purificacao_agua	natural	encontrar tecnologias que limpam água contaminada com metais tóxicos	Patentes focadas em descontaminação de água contendo metais pesados ou íons tóxicos	Tratamento biológico sem metais; mineração sem purificação de água	BR112023013658	112023013658	Sistemas e métodos de operação de sistemas de filtragem de água	sistemas e métodos de operação de sistemas de filtragem de água. trata-se de um aspecto da presente divulgação que é direcionado aos métodos e aos sistemas para filtragem de água que podem ou não incluir compostos de incrustação/depósito na água de alimentação. em vez disso, os sistemas e métodos consistentes com a presente divulgação podem operar com o uso de um sistema/configuração de membrana que inclui uma corrente de alimentação de entrada, corrente de permeado de saída e uma corrente de sangria com uma concentração cada vez maior de contaminantes retidos na corrente de sangria.	pooling_corpus1000	bm25_corpus1000	1		2	Sistemas de filtragem de agua por membrana com controle de incrustacao		
QA006	purificacao_agua	natural	encontrar tecnologias que limpam água contaminada com metais tóxicos	Patentes focadas em descontaminação de água contendo metais pesados ou íons tóxicos	Tratamento biológico sem metais; mineração sem purificação de água	BR112022025627	112022025627	MÉTODO DE SECAGEM DE ÁGUA VERMELHA PROVENIENTE DO PROCESSO DE PURIFICAÇÃO DE TRINITROTOLUENO, PÓ E PRODUTO EMBALADO	MÉTODO DE SECAGEM DE ÁGUA VERMELHA PROVENIENTE DO PROCESSO DE PURIFICAÇÃO DE TRINITROTOLUENO, PÓ E PRODUTO EMBALADO. A presente invenção refere-se, de maneira geral, a um método de secagem do efluente proveniente do processo de purificação de trinitrotolueno (TNT), conhecido como água vermelha, que utiliza de maneira eficiente, aprimorada e segura secagem por pulverização. A presente invenção também contempla as características do pó obtido seu uso e um produto embalado contendo o mesmo. A técnica proposta sugere uso de temperaturas inferiores a incineração de líquido (< 300ºC contra 1.000ºC) além do fato do material de interesse principal não ser decomposto, não gerando gases tóxicos e possibilitando o uso do pó seco em outras aplicações.	pooling	bm25_ipc|bm25_tr	2	3	1	Trata efluente de TNT por secagem, contaminacao organica e nao metalica		
QA006	purificacao_agua	natural	encontrar tecnologias que limpam água contaminada com metais tóxicos	Patentes focadas em descontaminação de água contendo metais pesados ou íons tóxicos	Tratamento biológico sem metais; mineração sem purificação de água	BR112015030282	112015030282	MÉTODO DE RECUPERAÇÃO DE COBRE E DE METAIS PRECIOSOS	MÉTODO DE RECUPERAÇÃO DE COBRE E DE METAIS PRECIOSOS A presente invenção refere-se a um método de recuperação de cobre e de um ou mais metais preciosos, a partir de um minério ou concentrado de sulfeto contendo cobre, compreendendo a lixiviação do minério e/ou concentrado contendo cobre sob condições atmosféricas ou ligeiramente pressurizadas, a uma temperatura abaixo do ponto de ebulição da solução de lixívia, em uma solução de ácido sulfúrico na presença de um ou mais halogenetos de metal alcalino ou metal alcalino terroso, em que a concentração total do halogeneto é de 30 a 115 g/L, para dissolver o cobre e obter um licor de lixiviação compreendendo cobre, espécies de enxofre e halogenetos na solução. O licor de lixiviação é depois submetido a uma separação do tipo sólido-líquido, após o que uma primeira solução aquosa impregnada de lixívia e um resíduo de lixiviação exaurido de cobre são obtidos. O cobre é purificado por extração por solvente da primeira solução aquosa impregnada de lixívia, para se obter uma primeira solução orgânica enriquecida contendo cobre e um primeiro refinado aquoso. A solução orgânica enriquecida contendo cobre é extraída e o cobre é recuperado de uma solução de extração que contém quantidades de traços de cloretos.	pooling	bm25_ipc|bm25_tr	2	5	1	Recuperacao hidrometalurgica de cobre; metais sim, limpeza de agua nao		
QA006	purificacao_agua	natural	encontrar tecnologias que limpam água contaminada com metais tóxicos	Patentes focadas em descontaminação de água contendo metais pesados ou íons tóxicos	Tratamento biológico sem metais; mineração sem purificação de água	BR102022009813	102022009813	Processo hidráulico de tratamento de água com fonte geradora de ozônio	processo hidráulico de tratamento de água com fonte geradora de ozônio. a presente invenção refere-se a um processo hidráulico (1), que compreende um corpo principal (1), fechado por uma tampa frontal (2), uma entrada de água (3), uma saída de água (4) e dois furos (5) posteriores para fixação do gabinete à parede, o botão liga e desliga (6) e as luzes de led (7), um sistema hidráulico (8) existente a conexão de saída acoplada a uma torneira, primeiramente a água passa pelos filtros de retenção de partículas e impurezas (9), (10) e (11), para retirada de materiais sólidos e em seguida passa pelo filtro de carvão ativado (12), que retira os odores e turbidez da água e ao passar pela fonte geradora de ozônio (13), ocorre o processo de sanitização matando bactérias que ainda estiverem presentes na água e servirá para oferecer água potável para pessoas de todas as idades em ambiente domiciliar, que vem atender de maneira segura, grande parte da população, que coleta água da chuva, de barreiros, caminhão pipa, armazenada em cisternas ou tanques entre outros, necessidade essa enfrentada por pessoas que tem dificuldade ao acesso à água potável própria para o consumo, sem odor, cor, metais e sanitizada.	pooling	bm25_ipc|bm25_tr	2	6	1	Tratamento de agua por ozonio e filtros, sem foco em metais		
